34645279,3100405770,90,1.4,14042
26034634,2322526955,89.5,-0.5,9926
19851813,1788613637,89.9,0.4,9419
20657992,1864481080,90.5,0.6,10122
39013354,3554471708,91,0.5,16974
14192519,1282178710,90.3,-0.7,6932
32362218,2944889438,91.3,1,14049
32664180,2991238892,91,-0.3,13263
33488249,3060261787,91,0,15711
34055107,3121729569,91.6,0.6,14433
31166098,2846439695,91.6,0,12212
58840462,5427958104,92.4,0.8,24632
28904382,2653486845,92.2,-0.2,11949
39064336,3573523990,91.1,-1.1,11011
17511564,1595581554,91.5,0.4,8301
11775451,1072386883,90.9,-0.6,5935
11310473,1029248360,91,0.1,6353
10097183,917789491,90.8,-0.2,5517
20188995,1848289316,91.5,0.7,8406
15811376,1442350252,90.9,-0.6,6646
14491239,1317119661,90.8,-0.1,6530
