Province/State,Country/Region,Last Update,Deaths,Confirmed,Recovered
Arizona,US,2020-03-23 23:19:34,2,235,0
Arkansas,US,2020-03-23 23:19:34,0,192,0
Aruba,Netherlands,2020-03-23 23:19:21,0,9,1
Australian Capital Territory,Australia,2020-03-23 23:23:20,0,32,0
Beijing,China,2020-03-23 07:08:37,8,537,401
Bermuda,United Kingdom,2020-03-23 23:19:21,0,6,0
British Columbia,Canada,2020-03-23 23:23:10,13,472,0
California,US,2020-03-23 23:19:34,39,2108,0
Cayman Islands,United Kingdom,2020-03-23 23:19:21,1,5,0
Channel Islands,United Kingdom,2020-03-23 23:19:21,0,36,0
Chongqing,China,2020-03-22 10:52:13,6,577,570
Colorado,US,2020-03-23 23:19:34,7,704,0
Connecticut,US,2020-03-23 23:19:34,10,415,0
Curacao,Netherlands,2020-03-23 23:19:21,1,4,0
Delaware,US,2020-03-23 23:19:34,0,68,0
Diamond Princess,Canada,2020-03-23 23:23:10,1,0,0
Diamond Princess,Cruise Ship,2020-03-23 23:19:21,8,712,567
Diamond Princess,US,2020-03-23 23:19:34,0,49,0
District of Columbia,US,2020-03-23 23:19:34,2,120,0
Faroe Islands,Denmark,2020-03-23 23:19:21,0,118,23
Florida,US,2020-03-23 23:19:34,18,1227,0
French Guiana,France,2020-03-23 23:19:21,0,20,6
French Polynesia,France,2020-03-23 23:19:21,860,19874,2200
Fujian,China,2020-03-23 00:50:24,1,313,295
Gansu,China,2020-03-22 14:23:02,2,136,114
Georgia,US,2020-03-23 23:19:34,25,772,0
Gibraltar,United Kingdom,2020-03-23 23:19:21,0,15,5
Grand Princess,Canada,2020-03-23 23:23:10,0,13,0
Grand Princess,US,2020-03-23 23:19:34,1,28,0
Greenland,Denmark,2020-03-23 23:19:21,0,4,0
Guadeloupe,France,2020-03-23 23:19:21,1,62,0
Guam,US,2020-03-23 23:19:34,1,29,0
Guangdong,China,2020-03-23 10:21:49,8,1415,1332
Guangxi,China,2020-03-20 04:33:45,2,254,250
Guizhou,China,2020-03-18 01:37:43,2,146,144
Hainan,China,2020-03-16 13:49:01,6,168,161
Hawaii,US,2020-03-23 23:19:34,0,56,0
Hebei,China,2020-03-23 01:53:35,6,319,310
Heilongjiang,China,2020-03-23 00:06:26,13,484,465
Henan,China,2020-03-23 01:11:34,22,1274,1250
Hong Kong,China,2020-03-23 10:06:18,4,356,100
Hubei,China,2020-03-23 05:06:15,3153,67800,59882
Hunan,China,2020-03-14 08:25:05,4,1018,1014
Idaho,US,2020-03-23 23:19:34,0,68,0
Illinois,US,2020-03-23 23:19:34,12,1285,0
Indiana,US,2020-03-23 23:19:34,7,270,0
Inner Mongolia,China,2020-03-19 00:16:31,1,75,74
Iowa,US,2020-03-23 23:19:34,0,105,0
Isle of Man,United Kingdom,2020-03-23 23:19:21,0,13,0
Jiangsu,China,2020-03-23 01:58:00,0,633,631
Jiangxi,China,2020-03-23 01:27:01,1,936,934
Jilin,China,2020-03-12 12:54:34,1,93,92
Kansas,US,2020-03-23 23:19:34,2,84,0
Kentucky,US,2020-03-23 23:19:34,4,123,0
Liaoning,China,2020-03-23 00:54:48,2,127,124
Louisiana,US,2020-03-23 23:19:34,35,1172,0
Macau,China,2020-03-23 02:45:51,0,24,10
Maine,US,2020-03-23 23:19:34,0,107,0
Manitoba,Canada,2020-03-23 23:23:10,0,20,0
Martinique,France,2020-03-23 23:19:21,1,53,0
Maryland,US,2020-03-23 23:19:34,3,290,0
Massachusetts,US,2020-03-23 23:19:34,9,777,0
Mayotte,France,2020-03-23 23:19:21,0,24,0
Michigan,US,2020-03-23 23:19:34,15,1329,0
Minnesota,US,2020-03-23 23:19:34,1,234,0
Mississippi,US,2020-03-23 23:19:34,1,249,0
Missouri,US,2020-03-23 23:19:34,4,187,0
Montana,US,2020-03-23 23:19:34,0,34,0
Montserrat,United Kingdom,2020-03-23 23:19:21,0,1,0
Nebraska,US,2020-03-23 23:19:34,0,51,0
Nevada,US,2020-03-23 23:19:34,4,245,0
New Brunswick,Canada,2020-03-23 23:23:10,0,17,0
New Caledonia,France,2020-03-23 23:19:21,0,8,0
New Hampshire,US,2020-03-23 23:19:34,1,101,0
New Jersey,US,2020-03-23 23:19:34,27,2844,0
New Mexico,US,2020-03-23 23:19:34,0,83,0
New South Wales,Australia,2020-03-23 23:23:20,6,669,4
New York,US,2020-03-23 23:19:34,158,20884,0
Newfoundland and Labrador,Canada,2020-03-23 23:23:10,0,24,0
Ningxia,China,2020-03-16 08:47:05,0,75,75
North Carolina,US,2020-03-23 23:19:34,0,353,0
North Dakota,US,2020-03-23 23:19:34,0,30,0
Northern Mariana Islands,US,2020-03-23 23:19:34,0,0,0
Northern Territory,Australia,2020-03-23 23:23:20,0,5,0
Nova Scotia,Canada,2020-03-23 23:23:10,0,41,0
Ohio,US,2020-03-23 23:19:34,6,443,0
Oklahoma,US,2020-03-23 23:19:34,2,81,0
Ontario,Canada,2020-03-23 23:23:10,6,503,0
Oregon,US,2020-03-23 23:19:34,5,191,0
Pennsylvania,US,2020-03-23 23:19:34,6,698,0
Prince Edward Island,Canada,2020-03-23 23:23:10,0,3,0
Puerto Rico,US,2020-03-23 23:19:34,2,31,0
Qinghai,China,2020-02-23 11:19:02,0,18,18
Quebec,Canada,2020-03-23 23:23:10,4,628,0
Queensland,Australia,2020-03-23 23:23:20,0,319,8
Reunion,France,2020-03-23 23:19:21,0,71,1
Rhode Island,US,2020-03-23 23:19:34,0,106,0
Saint Barthelemy,France,2020-03-23 23:19:21,0,3,0
Saskatchewan,Canada,2020-03-23 23:23:10,0,66,0
Shaanxi,China,2020-03-21 02:03:01,3,248,239
Shandong,China,2020-03-23 10:26:15,7,768,752
Shanghai,China,2020-03-23 14:18:01,4,404,329
Shanxi,China,2020-03-13 08:56:40,0,133,133
Sichuan,China,2020-03-22 07:20:38,3,543,536
Sint Maarten,Netherlands,2020-03-23 23:19:21,0,2,0
South Australia,Australia,2020-03-23 23:23:20,0,134,6
South Carolina,US,2020-03-23 23:19:34,5,298,0
South Dakota,US,2020-03-23 23:19:34,1,28,0
St Martin,France,2020-03-23 23:19:21,0,8,0
Tasmania,Australia,2020-03-23 23:23:20,0,28,3
Tennessee,US,2020-03-23 23:19:34,2,614,0
Texas,US,2020-03-23 23:19:34,9,758,0
Tianjin,China,2020-03-23 03:57:57,3,141,133
Tibet,China,2020-02-23 11:19:02,0,1,1
Utah,US,2020-03-23 23:19:34,1,257,0
