出發地,目的地,路線信息,酒店信息
杭州,麗江,"自由行
昆明+大理+麗江+香格里拉 <飛機往返昆明> 麗江+大理+香格里拉7天自由行+管家式服務（內附游玩攻略）
多商圈特色客棧
7天6晚|端午|中國國際航空直飛|多酒店可選
5.0分 | 已售26人
2880起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+香格里拉 直飛麗江+大理/瀘沽湖/香格里拉5日+N天自由行/多地任意組合/送拉市海純玩
多商圈
5天4晚|天天出發|多機票可選|多酒店可選
5.0分 | 已售22人
2460起/人","4.8分
舒適型"
杭州,麗江,"自由行
純玩麗江 自由行 直飛麗江 精選古城TOP客棧5晚 不挪窩 接送機+酒吧啤酒
大研古城靠近木府
6天5晚|端午|直飛|麗江凈水青蓮雅舍
5.0分 | 已售27人
2330起/人","4.9分
其他"
杭州,麗江,"自由行
昆明+版納+麗江+香格里拉 VIP私人定制：昆明-西雙版納中科院-麗江雪山冰川大索道-香格里拉7日游！
獨克宗古城乘索道
7天6晚|端午|飛機|迪慶香格里拉古城國際大酒店
5.0分 | 已售20人
5580起/人","3.9分
豪華型"
杭州,麗江,"自由行
麗江+大理 飛機往返昆明6天5晚 麗江+大理+洱海+管家服務+行程定制（附游玩攻略）
主題樂園多商圈特色客棧
6天5晚|端午|多機票可選|多酒店可選
2380起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理 <雙飛往返>麗江+大理雙廊古鎮5天自由行丨贈接送機+麗水金沙+車票（附攻略）
主題樂園多商圈海邊客棧特色客棧
5天4晚|端午|直飛|多酒店可選
2310起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+香格里拉 直飛麗江+大理/瀘沽湖/香格里拉6日自由行+N天自由行 多地任意組合
多商圈特色客棧
6天5晚|天天出發|多機票可選|多酒店可選
5.0分 | 已售24人
2660起/人","4.8分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 純玩0自費自由組合套餐 麗江+大理+香格里拉+瀘沽湖自由行雙飛5日 高端定制
多商圈, 含接送機
5天4晚|端午|多機票可選|多酒店可選
5.0分 | 已售26人
2070起/人","4.4分
其他"
杭州,麗江,"自由行
直飛麗江丨麗江雙飛4天自由行丨贈歌舞表演麗水金沙+接送機+1天專車使用
多商圈特色客棧
4天3晚|天天出發|直飛|多酒店可選
2070起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理 雙飛麗江<麗江+瀘沽湖+大理7天自由行>贈表演+接送機+專車使用（附攻略）
主題樂園多商圈海邊客棧特色客棧
7天6晚|天天出發|直飛|多酒店可選
2670起/人","4.9分
舒適型"
杭州,麗江,"自由行
夢云南 麗江+瀘沽湖5天自由行 免贈旅游管家+旅游車+接機附旅游攻略
多商圈特色客棧
7天6晚|天天出發|中國國際航空直飛|多酒店可選
2948起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 直飛麗江雙飛5日大理+香格里拉+瀘沽湖下單贈送2日游自由組合可加N日自由行
多商圈玉龍雪山
5天4晚|天天出發|直飛|多酒店可選
5.0分 | 已售30人
2980起/人專享紅包","4.4分
高檔型"
杭州,麗江,"自由行
麗江+大理 飛機往返昆明5天4晚 麗江+大理+洱海+管家服務+行程定制（附游玩攻略）
主題樂園多商圈特色客棧
5天4晚|天天出發|多機票可選|多酒店可選
2280起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理 往返直飛麗江+瀘沽湖+大理7天自由行 送特色美食旅游車接機4星入住
多商圈, 含接送機
7天6晚|天天出發|直飛|多酒店可選
3198起/人","4.9分
舒適型"
杭州,麗江,"自由行
VIP私人定制環飛：昆明、版納潘多拉星球、麗江冰川公園大索道、香格里拉7日游
親子游豪華型新城乘索道印象麗江
7天6晚|端午|飛機|麗江官房大酒店旗店區
5.0分 | 已售23人
6580起/人","4.4分
豪華型"
杭州,麗江,"機酒自由行
雙飛麗江 瀘沽湖 玉龍雪山 特色古城內酒店 ＋免費接送機享浪漫寧靜之五日游
多商圈湖景房
5天4晚|天天出發|直飛|多酒店可選
2599起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理 <往返直飛麗江>麗江+大理5天自由行（含20KM專用車+管家服務）附旅游攻略
多商圈, 含接送機
5天4晚|端午|直飛|多酒店可選
2918起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理 DIY自由定制/特色客棧+當地管家杭州-大理麗江6+N天全自由行
多商圈, 含接送機
6天5晚|端午|直飛|多酒店可選
5.0分 | 已售25人
3150起/人","4.4分
其他"
杭州,麗江,"自由行
昆明+大理+麗江+香格里拉 DIY自由定制/特色客棧+當地管家杭州-大理麗江香格里拉8+N天全自由行
大研古城特色客棧
8天7晚|端午|直飛|麗江沐云花間人文精品客棧
5.0分 | 已售22人
3500起/人","3.8分
高檔型"
杭州,麗江,"自由行
麗江+大理 相約麗江 漫步大理 網紅客棧 好評如潮 雙飛往返贈接送
多商圈特色客棧
5天4晚|端午|多機票可選|多酒店可選
3488起/人","4.7分
高檔型"
杭州,麗江,"自由行
麗江+大理 云南純玩+自由行，0限制0購物，住海景客棧，大理麗江6日雙飛游，贈表演游輪！
多商圈游雙古城海邊客棧洱海游船
6天5晚|天天出發|直飛|多酒店可選
5.0分 | 已售28人
2180起/人","4.1分
其他"
杭州,麗江,"自由行
<飛機往返麗江> 麗江+大理+香格里拉3天自由行+管家式服務（內附游玩攻略）
多商圈特色客棧
3天2晚|端午|多機票可選|多酒店可選
5.0分 | 已售26人
2380起/人","4.9分
其他"
杭州,麗江,"自由行
昆明+大理+麗江+香格里拉 DIY自由定制/特色客棧+當地管家杭州-大理麗江瀘沽湖香格里拉10+N天
大研古城特色客棧
10天9晚|端午|中國國際航空直飛|麗江沐云花間人文精品客棧
5.0分 | 已售28人
3800起/人","3.8分
高檔型"
杭州,麗江,"自由行
麗江+大理 麗江瀘沽湖大理7天自由行送歌舞會特色美食旅游車玫瑰莊園接機4星入住
多商圈, 含接送機
7天6晚|天天出發|中國國際航空直飛|多酒店可選
3198起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理 <往返直飛>麗江+大理5天自由行（含20KM專用車+管家服務）附旅游攻略
多商圈, 含接送機
5天4晚|天天出發|直飛|多酒店可選
2918起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+大理 直飛麗江自由定制+當地管家杭州-大理麗江香格里拉瀘沽湖10+N天全自由行
大研古城, 含接送機
10天9晚|端午|直飛|麗江沐云花間人文精品客棧
5.0分 | 已售26人
3650起/人","3.8分
高檔型"
杭州,麗江,"自由行
直飛麗江<贈接送機+歌舞表演麗水金沙>麗江古城雙飛5天自由行（附自由行攻略）
多商圈特色客棧
5天4晚|天天出發|直飛|多酒店可選
2670起/人","4.9分
舒適型"
杭州,麗江,"自由行
飛機往返麗江3天2晚 麗江古城+拉市海+管家服務+行程定制（附游玩攻略）
大研古城特色客棧
3天2晚|天天出發|多機票可選|Q居麗江陽光花舍精品客棧
5.0分 | 已售24人
2380起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理 <雙飛往返麗江> 麗江+瀘沽湖+大理7天自由行 管家式服務（內附完整攻略）
主題樂園多商圈特色客棧
7天6晚|天天出發|直飛|多酒店可選
2366起/人","4.9分
舒適型"
杭州,麗江,"自由行
昆明+西雙版納+麗江 VIP私人定制環飛：昆明-版納中科院、萬達主題-麗江雪山大索道-瀘沽湖8日游
豪華型新城走婚宴乘索道印象麗江
8天7晚|天天出發|飛機|麗江官房大酒店旗店區
5.0分 | 已售24人
6480起/人","4.4分
豪華型"
杭州,麗江,"自由行
往返直飛 麗江+瀘沽湖5天自由行 贈旅游管家+旅游車+接機附旅游攻略
豪華型多商圈特色客棧
5天4晚|端午|直飛|多酒店可選
2948起/人","4.9分
舒適型"
杭州,麗江,"自由行
<雙飛往返麗江+瀘沽湖5天自由行>贈接送機+麗水金沙+專車使用（附攻略）
多商圈特色客棧
5天4晚|端午|直飛|多酒店可選
2220起/人","4.9分
舒適型"
杭州,麗江,"自由行
麗江+香格里拉 杭州飛麗江5天4晚 高端國際五星住宿 云南麗江香格里拉專車行程隨心定ZYZ5
豪華型多商圈洲際玉龍雪山印象麗江
5天4晚|端午|直飛|多酒店可選
5.0分 | 已售24人
5780起/人","4.5分
豪華型"
杭州,麗江,"自由行
麗江+香格里拉 全自由行 我的旅游我做主杭州雙飛—昆明 麗江 香格里拉6+N天
大研古城海邊客棧特色客棧
6天5晚|端午|直飛|麗江凌云·花舍精品客棧
5.0分 | 已售21人
3250起/人","4.7分
高檔型"
杭州,麗江,"自由行
麗江+大理+香格里拉 親子畢業推薦 杭州飛麗江大理6天5晚 專車行程隨心定，景點自由組 ZYD6
豪華型多商圈玉龍雪山游雙古城印象麗江
6天5晚|天天出發|直飛|多酒店可選
5.0分 | 已售28人
6280起/人","4.6分
豪華型"
杭州,麗江,"自由行
麗江+大理+香格里拉 云南定制私家團，大理+麗江5天4晚，贈洱海雙人旅拍，獨立專車+五星酒店LP5
豪華型多商圈玉龍雪山游雙古城印象麗江
5天4晚|端午|中國國際航空直飛|多酒店可選
6380起/人","4.6分
豪華型"
杭州,麗江,"機酒自由行
昆明+麗江+香格里拉 杭州飛昆明5日+N天自由休閑游，任意組合麗江/香格里拉/瀘沽湖 ZYX001
獨克宗古城
5天4晚|天天出發|多機票可選|迪慶融城港灣度假酒店
5.0分 | 已售30人
1680起/人","4.8分
舒適型"
杭州,麗江,"自由行
麗江+香格里拉 逼格旅行丨雙飛麗江+香格里拉5日游丨宿精品客棧丨含接送機+旅途用車L4-H
多商圈, 含接送機
5天4晚|天天出發|直飛|多酒店可選
2340起/人","4.5分
其他"
杭州,麗江,"自由行
麗江+大理 遇見純玩錯峰游 大理麗江6天5晚奢旅自由行，杭州直飛麗江往返機票含稅。
多商圈
6天5晚|端午|直飛|多酒店可選
5.0分 | 已售25人
3580起/人","4.1分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 云南私家團大理+麗江+香格里拉7日6晚楊麗萍藝術酒店悅榕莊洲際恬居Y7
多核心商圈豪華住宿, 含接送機, 門票
7天6晚|天天出發|直飛|多酒店可選
11080起/人","4.7分
豪華型"
杭州,麗江,"自由行
麗江+大理+香格里拉 直飛麗江純玩定制5天4晚半自由行包含接送機+精選古城客棧+贈送套餐可選
5天4晚|端午|直飛|麗江古城天雨樓酒店
2690起/人","3.5分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 直飛麗江 純玩 精選TOP古城客棧（可現選）可贈送 三選一套餐+達人推薦玩樂
大研古城靠近木府雙廊
6天5晚|端午|直飛|麗江凈水青蓮雅舍
2630起/人","4.9分
其他"
杭州,麗江,"自由行
0限制直飛昆明全程自由行+N日自由行+舒適客棧5天4晚游；贈送拉市海麗水金沙
多商圈
5天4晚|端午|直飛|多酒店可選
5.0分 | 已售27人
2160起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理+香格里拉 <飛機往返麗江> 麗江+大理+香格里拉4天自由行+管家式服務（內附游玩攻略）
多商圈特色客棧
4天3晚|天天出發|多機票可選|多酒店可選
5.0分 | 已售23人
2380起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+香格里拉 雙飛麗江<麗江+香格里拉+瀘沽湖7天自由行>贈表演+接送機+專車使用丨附攻略
多商圈特色客棧
7天6晚|天天出發|直飛|多酒店可選
2670起/人","4.9分
舒適型"
杭州,麗江,"自由行
成都+稻城 <麗江+瀘沽湖+稻城亞丁+芒康>11日大環線自由行，圓您滇、川、藏自駕之夢
多商圈
11天10晚|天天出發|多機票可選|多酒店可選
5080起/人","4.7分
舒適型"
杭州,麗江,"自由行
麗江+大理+香格里拉 直飛麗江 定制純玩自由行（特色客棧+香格里拉+瀘沽湖+大理多種套餐任意搭配）
大研古城靠近木府特色客棧
6天5晚|端午|直飛|麗江凈水青蓮雅舍
5.0分 | 已售21人
2740起/人團","4.9分
其他"
杭州,麗江,"自由行
麗江+香格里拉 <雙飛往返麗江+香格里拉5天自由行>贈麗水金沙+接送機+專車使用（附攻略）
多商圈特色客棧
5天4晚|天天出發|直飛|多酒店可選
5.0分 | 已售23人
2370起/人","4.9分
舒適型"
杭州,麗江,"自由行
雙飛云南！全程自由行+昆明大理麗江瀘沽湖香格里拉10天9晚+特色客棧+接送機
多商圈特色客棧
10天9晚|天天出發|直飛|多酒店可選
3670起/人","4.9分
其他"
杭州,麗江,"自由行
麗江+大理+香格里拉 艷遇行色直飛往返麗江自由行5日+4晚高檔客棧+贈拉市海+束河古鎮一日游
多商圈, 含接送機
5天4晚|端午|直飛|多酒店可選
2998起/人","4.5分
豪華型"
杭州,麗江,"自由行
麗江+大理+香格里拉 <飛機往返直飛>麗江+香格里拉+大理7天自由行 贈特色美食旅游車+接機
多商圈, 含接送機
7天6晚|天天出發|直飛|多酒店可選
3168起/人","4.9分
舒適型"
