Date,Open,High,Low,Close,Volume,Adj Close
8/21/2006,11380.66992,11380.99023,11321.99023,11345.04981,196220000,11345.04981
8/18/2006,11333.75977,11381.46973,11317.66992,11381.46973,282660000,11381.46973
8/17/2006,11327.36035,11372.41992,11298.37988,11334.95996,243000000,11334.95996
8/16/2006,11224.91016,11340.79981,11224.91016,11327.12012,219190000,11327.12012
8/15/2006,11098.03027,11234.26953,11098.03027,11230.25977,208750000,11230.25977
8/14/2006,11089.07031,11202.73047,11079.78027,11097.87012,205830000,11097.87012
8/11/2006,11121.16016,11121.16016,11042.63965,11088.03027,166870000,11088.03027
8/10/2006,11073.13965,11143.98047,11044.71973,11124.37012,211270000,11124.37012
8/9/2006,11168.46973,11250.83984,11068.57031,11076.17969,231270000,11076.17969
8/8/2006,11218.17969,11276.29004,11141.82031,11173.58984,261520000,11173.58984
8/7/2006,11239.46973,11245.9502,11190.55957,11219.37988,169710000,11219.37988
8/4/2006,11244.58984,11344.16992,11187.36035,11240.34961,210410000,11240.34961
8/3/2006,11195.28027,11269.49023,11144.45996,11242.58984,211890000,11242.58984
8/2/2006,11125.57031,11229.45996,11125.25,11199.92969,229410000,11199.92969
8/1/2006,11184.79981,11185.28027,11083.86035,11125.73047,199150000,11125.73047
7/31/2006,11218.90039,11219.05957,11178.32031,11185.67969,226190000,11185.67969
7/28/2006,11102.11035,11243.30957,11102.03027,11219.7002,269730000,11219.7002
7/27/2006,11104.19043,11187.75977,11087.54981,11100.42969,286530000,11100.42969
7/26/2006,11102.91016,11157.82031,11048.16016,11102.50977,287170000,11102.50977
7/25/2006,11051.04981,11133.80957,10999.90039,11103.70996,281840000,11103.70996
7/24/2006,10868.7002,11065.9502,10868.62012,11051.04981,269370000,11051.04981
7/21/2006,10937.94043,10951.76953,10838.84961,10868.37988,433240000,10868.37988
7/20/2006,11007.25977,11037.28027,10924.98047,10928.09961,336300000,10928.09961
7/19/2006,10797.38965,11038.48047,10797.38965,11011.41992,343400000,11011.41992
7/18/2006,10745.83984,10813.79004,10683.32031,10799.23047,288860000,10799.23047
7/17/2006,10739.34961,10802.66992,10714.70996,10747.36035,251640000,10747.36035
7/14/2006,10846.53027,10848.37012,10701.33984,10739.34961,312080000,10739.34961
7/13/2006,11012.62012,11012.62012,10832.92969,10846.29004,328780000,10846.29004
7/12/2006,11133.96973,11149.95996,10995.96973,11013.17969,266320000,11013.17969
7/11/2006,11102.58984,11151.17969,11027.99023,11134.76953,298130000,11134.76953
7/10/2006,11091.70996,11174.46973,11090.04004,11103.54981,207740000,11103.54981
7/7/2006,11224.17969,11224.17969,11066.00977,11090.66992,253730000,11090.66992
7/6/2006,11147.12012,11257.08008,11147.12012,11225.29981,224520000,11225.29981
7/5/2006,11225.05957,11225.05957,11123.32031,11151.82031,248320000,11151.82031
7/3/2006,11149.33984,11231.29981,11149.33984,11228.01953,134790000,11228.01953
