日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/06/06,"38,757,260","2,760,665,454",71.00,72.00,71.00,71.10,+0.10,"15,184"
108/06/10,"35,654,410","2,562,142,098",72.00,72.30,71.20,72.10,+1.00,"13,300"
108/06/11,"28,059,014","2,031,363,362",72.10,72.80,71.90,72.40,+0.30,"11,952"
108/06/12,"40,554,559","2,954,223,835",72.50,73.90,72.00,73.70,+1.30,"16,870"
108/06/13,"42,030,922","3,106,369,148",73.60,74.40,73.20,74.20,+0.50,"16,684"
108/06/14,"40,758,143","3,057,620,636",74.20,75.50,74.20,75.10,+0.90,"19,770"
108/06/17,"33,119,409","2,519,346,493",75.60,76.50,75.20,76.40,+1.30,"16,702"
108/06/18,"36,656,969","2,790,370,844",77.20,77.50,75.10,75.90,-0.50,"17,471"
108/06/19,"49,543,345","3,812,397,346",77.40,77.40,76.40,77.20,+1.30,"19,591"
108/06/20,"26,823,796","2,077,861,695",77.30,77.80,76.80,77.70,+0.50,"12,705"
108/06/21,"58,532,183","4,537,934,418",78.20,78.80,76.60,76.80,-0.90,"22,404"
108/06/24,"28,060,800","2,141,301,281",76.40,77.20,75.30,77.10,+0.30,"13,163"
108/06/25,"21,534,885","1,650,467,278",77.00,77.40,76.10,76.40,-0.70,"11,060"
108/06/26,"17,961,718","1,370,947,546",76.10,76.70,76.10,76.30,-0.10,"7,367"
108/06/27,"32,381,055","2,508,603,582",76.80,77.90,76.70,77.40,+1.10,"11,933"
108/06/28,"21,112,390","1,639,176,256",77.60,78.20,77.40,77.40, 0.00,"7,961"
108/07/01,"37,776,031","2,989,054,094",78.70,79.70,78.60,79.40,+2.00,"18,111"
108/07/02,"21,546,017","1,705,333,449",79.00,79.50,78.70,79.10,-0.30,"10,787"
108/07/03,"30,692,214","2,391,526,371",78.40,78.80,77.50,77.50,-1.60,"14,736"
108/07/04,"14,276,447","1,111,651,026",78.00,78.40,77.50,77.70,+0.20,"6,699"
108/07/05,"10,943,297","854,395,365",77.90,78.30,77.90,78.20,+0.50,"5,367"
108/07/08,"19,426,333","1,529,428,867",78.40,79.00,78.30,79.00,+0.80,"9,232"
108/07/09,"21,188,735","1,661,393,530",79.10,79.10,77.80,77.90,-1.10,"9,428"
108/07/10,"20,106,457","1,568,642,420",78.70,78.70,77.70,77.90, 0.00,"8,319"
108/07/11,"20,457,120","1,601,744,784",78.10,78.70,77.80,78.20,+0.30,"9,065"
108/07/12,"26,468,868","2,058,503,042",78.00,78.20,77.50,77.60,-0.60,"11,097"
108/07/15,"37,340,374","2,887,993,512",77.10,78.20,76.10,78.10,+0.50,"16,220"
108/07/16,"59,184,035","4,725,596,800",78.40,80.80,78.40,80.00,+1.90,"26,333"
108/07/17,"31,741,667","2,533,615,702",80.20,80.40,79.30,79.30,-0.70,"14,300"
108/07/18,"20,198,449","1,600,873,450",79.20,79.70,79.00,79.00,-0.30,"8,911"
108/07/19,"24,572,592","1,957,380,338",79.60,80.40,79.30,79.30,+0.30,"10,527"
108/07/22,"38,787,555","3,116,232,002",79.50,80.80,79.40,80.60,+1.30,"16,042"
108/07/23,"38,227,545","3,090,070,309",81.10,81.40,80.30,80.90,+0.30,"16,167"
108/07/24,"73,095,922","5,936,543,093",81.20,81.50,80.80,81.30,+0.40,"27,858"
108/07/25,"62,909,028","4,935,150,376",78.00,79.30,77.80,78.60,X0.00,"27,627"
108/07/26,"22,089,564","1,733,210,163",78.40,78.90,78.10,78.40,-0.20,"10,576"
108/07/29,"18,209,593","1,425,967,829",78.30,78.70,78.00,78.40, 0.00,"7,428"
108/07/30,"27,716,754","2,161,853,958",78.70,78.80,77.60,77.80,-0.60,"10,594"
108/07/31,"24,080,224","1,885,916,520",78.20,78.70,77.70,78.60,+0.80,"9,103"
108/08/01,"31,383,363","2,448,631,923",77.80,78.40,77.60,77.90,-0.70,"13,709"
108/08/02,"51,771,742","3,932,053,892",76.50,76.60,75.50,75.50,-2.40,"25,321"
108/08/05,"49,484,279","3,630,339,605",74.90,74.90,72.60,72.80,-2.70,"25,954"
108/08/06,"40,168,974","2,899,786,822",71.00,73.60,70.70,73.30,+0.50,"19,447"
108/08/07,"26,458,601","1,935,659,844",73.60,73.90,72.80,72.90,-0.40,"12,876"
108/08/08,"19,132,614","1,401,390,427",72.80,73.70,72.70,73.10,+0.20,"8,520"
108/08/12,"18,829,546","1,386,961,208",73.20,74.30,72.80,73.70,+0.60,"9,212"
108/08/13,"18,041,979","1,319,078,341",73.80,73.80,72.90,72.90,-0.80,"8,642"
108/08/14,"34,110,030","2,497,656,890",74.00,74.30,72.60,72.60,-0.30,"13,839"
108/08/15,"29,341,797","2,102,556,384",71.50,71.90,71.30,71.60,-1.00,"14,450"
108/08/16,"33,475,801","2,407,954,491",71.40,72.70,71.20,72.00,+0.40,"14,550"
108/08/19,"19,816,447","1,437,460,797",72.50,73.00,72.20,72.40,+0.40,"9,431"
108/08/20,"18,777,661","1,361,574,436",72.50,72.90,72.40,72.40, 0.00,"8,278"
108/08/21,"27,098,920","1,989,126,254",73.00,73.80,72.60,73.50,+1.10,"12,750"
108/08/22,"23,080,538","1,702,786,612",74.00,74.30,73.30,73.90,+0.40,"9,530"
108/08/23,"16,397,789","1,203,893,184",73.50,73.90,73.20,73.30,-0.60,"8,009"
108/08/26,"29,641,247","2,131,214,083",71.80,72.10,71.60,72.00,-1.30,"15,334"
108/08/27,"37,138,289","2,681,293,432",72.50,72.60,72.00,72.20,+0.20,"9,144"
